Year,m,d,Time,Time zone,Air Quality Index (index),Carbon monoxide (ug/m3),Nitrogen dioxide (ug/m3),Nitrogen monoxide (ug/m3),Ozone (ug/m3),Particulate matter < 10 µm (ug/m3),Particulate matter < 2.5 µm (ug/m3),musta hiili PM2.5 (ug/m3),Sulphur dioxide (ug/m3),Odorous sulphur compounds (ugS/m3)
2020,1,1,00:00,UTC,2,,34.4,14.7,,48.5,24.7,0.9,,
2020,1,1,01:00,UTC,2,,17.2,2.6,,27,15.4,0.5,,
2020,1,1,02:00,UTC,1,,18.3,6.1,,17.2,7.2,0.4,,
2020,1,1,03:00,UTC,1,,16.3,5.1,,10.4,2,0.3,,
2020,1,1,04:00,UTC,1,,16.6,3.2,,11.2,4.5,0.2,,
2020,1,1,05:00,UTC,1,,17.1,2.6,,7.6,3.5,0.2,,
2020,1,1,06:00,UTC,1,,8.7,-0.3,,5.1,2.3,0.1,,
2020,1,1,07:00,UTC,1,,8,-0.3,,,-1.7,0.1,,
2020,1,1,08:00,UTC,1,,9.7,-0.6,,-1.4,-0.5,0.1,,
2020,1,1,09:00,UTC,1,,15.7,-0.5,,3,1.2,0.1,,
2020,1,1,10:00,UTC,1,,15.1,0.1,,6.2,3.4,0.1,,
2020,1,1,11:00,UTC,1,,11.2,-0.8,,3.3,1.1,0.1,,
2020,1,1,12:00,UTC,1,,10.4,-0.7,,-0.5,1.9,0.1,,
2020,1,1,13:00,UTC,1,,15.1,0.3,,5,1.3,0.2,,
2020,1,1,14:00,UTC,1,,12.5,-0.1,,4.8,4.4,0.3,,
2020,1,1,15:00,UTC,1,,13.5,0.7,,8.1,4.7,0.3,,
2020,1,1,16:00,UTC,1,,9.9,0.4,,3.5,1.4,0.2,,
2020,1,1,17:00,UTC,1,,10.7,0,,6.5,2.4,0.3,,
2020,1,1,18:00,UTC,1,,11.7,-0.2,,3,5.1,0.3,,
2020,1,1,19:00,UTC,1,,10.4,0.2,,5.3,3.2,0.3,,
2020,1,1,20:00,UTC,1,,10.5,-0.4,,8.9,8.6,0.2,,
2020,1,1,21:00,UTC,1,,13.5,-0.6,,6.5,7.1,0.2,,
2020,1,1,22:00,UTC,1,,6.2,-0.6,,9,4.4,0.1,,
2020,1,1,23:00,UTC,1,,8.6,-1.1,,9,6.3,0.1,,
2020,1,2,00:00,UTC,2,,8,-0.8,,3,13.5,0.1,,
2020,1,2,01:00,UTC,1,,4.8,-0.8,,2.8,5.8,0.1,,
2020,1,2,02:00,UTC,1,,3.8,-1.2,,7.5,3,0.1,,
2020,1,2,03:00,UTC,1,,3.7,-1.3,,5.5,3.7,0.1,,
2020,1,2,04:00,UTC,1,,7.8,0.5,,4.8,1.5,0.1,,
2020,1,2,05:00,UTC,1,,15,1,,9.3,6.1,0.2,,
2020,1,2,06:00,UTC,1,,24.9,3.9,,8,4,0.2,,
2020,1,2,07:00,UTC,1,,30,3.5,,1.2,1.6,0.3,,
2020,1,2,08:00,UTC,1,,31.7,5.6,,8.5,2.7,0.7,,
2020,1,2,09:00,UTC,1,,30.1,5.9,,14.8,5,0.6,,
2020,1,2,10:00,UTC,1,,31.9,6.2,,11.7,4,0.3,,
2020,1,2,11:00,UTC,1,,35.2,8.5,,13.8,8.8,0.6,,
2020,1,2,12:00,UTC,1,,23.1,5.6,,14.6,5.9,0.3,,
2020,1,2,13:00,UTC,1,,20.2,3,,11.6,5.4,0.3,,
2020,1,2,14:00,UTC,1,,19.6,1.7,,19.2,7,0.4,,
2020,1,2,15:00,UTC,1,,16.2,0.5,,19,5.4,0.3,,
2020,1,2,16:00,UTC,2,,13.1,0.1,,21.1,8.7,0.3,,
2020,1,2,17:00,UTC,2,,17.4,0.8,,23.9,10.4,0.3,,
2020,1,2,18:00,UTC,2,,20.4,0.9,,21.5,10.1,0.3,,
2020,1,2,19:00,UTC,2,,7.6,-0.8,,27.8,10.1,0.4,,
2020,1,2,20:00,UTC,2,,8,-0.6,,19.3,15.8,0.4,,
2020,1,2,21:00,UTC,2,,6.8,-0.9,,24.4,7.9,0.4,,
2020,1,2,22:00,UTC,2,,7.8,-0.5,,21.9,8.5,0.3,,
2020,1,2,23:00,UTC,2,,7,-0.6,,26.2,7.7,0.4,,
2020,1,3,00:00,UTC,2,,7.7,0,,21.9,8.1,0.4,,
2020,1,3,01:00,UTC,1,,8.1,0.2,,13.8,9.4,0.4,,
2020,1,3,02:00,UTC,1,,6.4,-0.3,,16,8.2,0.4,,
2020,1,3,03:00,UTC,2,,3.8,-1.3,,13.3,10.3,0.4,,
2020,1,3,04:00,UTC,1,,6.6,-0.4,,13.9,8.8,0.4,,
2020,1,3,05:00,UTC,1,,7.1,-0.1,,13.4,9.9,0.4,,
2020,1,3,06:00,UTC,1,,9.2,0.5,,14.9,6.6,0.3,,
2020,1,3,07:00,UTC,1,,8.4,0.7,,12.3,4.7,0.3,,
2020,1,3,08:00,UTC,1,,9.8,1.5,,12.7,6.4,0.2,,
2020,1,3,09:00,UTC,1,,11.7,4.5,,11.9,3.3,0.2,,
2020,1,3,10:00,UTC,1,,10.5,1.5,,10.6,3.8,0.2,,
2020,1,3,11:00,UTC,1,,10.1,1.2,,8.8,4.9,0.2,,
2020,1,3,12:00,UTC,1,,10.7,1.6,,4.9,2,0.2,,
2020,1,3,13:00,UTC,1,,10.1,0.9,,9.7,2.8,0.2,,
2020,1,3,14:00,UTC,1,,10.5,0.7,,8.1,2.2,0.2,,
2020,1,3,15:00,UTC,1,,9.7,0.4,,3.9,1.9,0.2,,
2020,1,3,16:00,UTC,1,,10,0.3,,5.2,3.7,0.2,,
2020,1,3,17:00,UTC,1,,11.4,0.4,,7.9,4.9,0.2,,
2020,1,3,18:00,UTC,1,,22.6,3.7,,3.7,3.9,0.2,,
2020,1,3,19:00,UTC,1,,18.6,1.6,,4.5,3.6,0.2,,
2020,1,3,20:00,UTC,1,,14.7,0.2,,8.1,6.1,0.1,,
2020,1,3,21:00,UTC,1,,8.3,0,,10.7,6.6,0.1,,
2020,1,3,22:00,UTC,1,,8.6,0.3,,8,2.2,0.1,,
2020,1,3,23:00,UTC,1,,10.7,-0.5,,12.2,0.2,0.1,,
2020,1,4,00:00,UTC,1,,9.1,-0.6,,11.5,5.2,0.1,,
2020,1,4,01:00,UTC,1,,7.3,0,,14.4,3,0.1,,
2020,1,4,02:00,UTC,1,,13.1,-0.2,,4.8,4.7,0,,
2020,1,4,03:00,UTC,1,,14.9,0.2,,9.4,2.7,0.1,,
2020,1,4,04:00,UTC,1,,7.9,-0.8,,8.7,3.5,0,,
2020,1,4,05:00,UTC,1,,5.5,-1.2,,9.2,4.6,0.1,,
2020,1,4,06:00,UTC,1,,17.2,0.8,,7.5,4,0,,
