index,mobility_nodes,Surface area,mobility_index
00140,33,931841,0.28836829978965367
00520,111,1567139,0.5767543146656395
00260,38,751805,0.41157954136169034
01630,24,2645689,0.07386655453299604
00730,83,3624816,0.18645220263197915
00600,28,949209,0.24019921070613076
00650,29,1631932,0.14470093303212553
02290,1,166266,0.04897471792084364
00250,120,3065419,0.31876218356421704
00390,68,3232854,0.1712766708883962
00940,162,5776813,0.2283505685352758
00840,60,3013995,0.16210041058117858
00630,73,2513374,0.23650543963507628
00150,53,1367328,0.3156302027317735
00790,64,3725157,0.1398977677421186
00590,21,1821381,0.09388449722840349
00300,33,851105,0.31572297759300044
00290,22,268739,0.6666031722086997
00950,54,3135342,0.14024398113209258
01740,60,8136713,0.0600451099835547
02620,50,4031134,0.10099925293759757
02340,23,3617720,0.05176882134217704
00200,113,2619434,0.3512742985051159
00690,41,4714016,0.07082200154664442
00190,7,765012,0.07450839091254637
00340,27,1008214,0.21806523431070063
02710,41,2651282,0.125922496529191
00350,54,2211028,0.19887258066865612
00930,88,2034415,0.3522236513124289
01600,101,2613983,0.3146255639124378
00230,6,171851,0.28429850684000635
01230,31,3386757,0.074533763108672
00740,62,3550365,0.14219819311233445
02180,39,3423521,0.09276133768224368
00880,60,1769751,0.27606698738388585
01770,5,188347,0.21616565301881602
00280,28,822672,0.27714478260492115
01690,47,6045929,0.06330094699125122
02230,88,5967507,0.12007846485723016
01490,55,6211953,0.07209579253746518
01400,82,5729115,0.11654716249993465
02820,82,63272110,0.010553024024104983
01450,153,14298099,0.0871341748874119
02660,39,3357279,0.09459159859614068
00210,49,1478221,0.26991815976198585
00770,61,3546000,0.1400768915508873
00440,40,950305,0.34274597944142093
00830,11,1599520,0.055998758970251625
00560,106,3878502,0.22254469062582946
00100,289,2353278,1.0
01360,80,5764302,0.11301046266940197
00310,14,621966,0.18328916097918188
00990,37,2565419,0.11744074813650268
00890,55,27345953,0.01637740234324561
00670,51,3040959,0.13656361461669705
01670,38,2287549,0.13526597991711897
00160,44,541136,0.6620970325248875
00420,57,2937878,0.15798523139495185
02250,17,2152411,0.06431305064277167
00220,45,684781,0.5351015437668605
02610,33,2926723,0.09181374692592727
02280,20,3365630,0.04838814991444092
00360,12,539398,0.18115374064776632
01510,163,7649960,0.17350173900540644
00700,164,6435483,0.2075095519282121
00610,92,1965661,0.38111373292957584
01680,22,6601075,0.027138347904878183
02510,0,16213518,0.0
01710,18,1234759,0.11870409375180566
00960,54,2504021,0.1756026983362589
00800,56,3052566,0.1493820298038802
02380,23,8990600,0.020831212638313435
01480,50,2933483,0.1387911648001197
00750,76,3045127,0.2032280145251253
00370,61,3126200,0.1588870377581237
02600,90,4424274,0.16564406736210935
02920,86,12923102,0.054188492722963964
00320,100,1942280,0.41924081233534755
01800,2,21366979,0.0007621882765763928
02630,32,2712530,0.09606182213448833
00330,83,1726680,0.3914187500495981
02970,88,28461323,0.025176942041126305
00910,44,1118992,0.3201850770983059
02100,71,1907447,0.30309673712439517
01520,32,2029811,0.12837184072530083
00130,30,428960,0.5694818013213578
01280,60,3479420,0.14041703128384023
00820,33,1295254,0.207460007723806
00780,59,2282750,0.21045975097570577
00240,78,2439966,0.2603072235787323
00680,37,2164288,0.13920731743815914
02130,39,2646566,0.11999337539409656
02140,30,2429132,0.10056469285934633
01390,91,7098930,0.10438158580719291
04320,0,6476510,0.0
02740,72,29804103,0.019671244337987396
02210,47,3621356,0.10568224475634776
01340,9,230648,0.3177373055410968
00870,37,1407889,0.2139975002600337
01760,79,33019746,0.01948178540005523
02150,47,2003315,0.191039866991396
01730,72,14628562,0.040078019451778184
01720,33,4257140,0.06312064081620304
00430,74,4772714,0.1262529984589894
02110,16,878222,0.14835119957964138
01260,103,8277506,0.10132418343546713
00570,48,1796540,0.21756034465789542
02320,82,3071666,0.2173778323834079
01650,42,2132777,0.16035379174322187
01350,60,2811048,0.17380344518827828
00640,65,2259873,0.23420961232722118
02650,73,2648089,0.22447380840952483
01750,53,22646757,0.019056592245893324
00380,36,1261325,0.2324079013686176
00980,167,10710384,0.12696581981758145
00900,37,1169003,0.2577279328142003
00720,52,2088327,0.2027590427126611
02680,25,1321122,0.154089297767863
02240,21,1401091,0.12204734699342638
01640,45,3107721,0.11790870874258484
00500,47,585917,0.6531864259645452
02720,15,1655678,0.07377186672010189
01420,41,3919259,0.08518346157855516
04260,2,6167624,0.0026405080626922097
01610,37,2775026,0.10857005543140806
00760,60,3363242,0.14526752074029145
02170,40,1942277,0.1676965839543379
02860,38,15725519,0.019676778686504758
01530,129,17319257,0.06065070389726774
01660,19,1007947,0.15349396203045673
00860,7,6393082,0.00891585829006869
00510,83,1062161,0.6363017728344762
02160,29,2067000,0.1142438718166341
00710,77,2823097,0.22209578510291292
02260,34,2334357,0.1186006404736369
00580,43,1310059,0.26727171016157325
02780,153,28168264,0.044228961317017236
02700,89,5543628,0.13072881333931535
00970,63,3453709,0.1485354783333223
00120,42,414010,0.8260642952893252
02980,26,31113060,0.006804653470134462
02270,47,3452144,0.11086241800512044
00180,106,1735293,0.49740304817783554
00660,69,2559655,0.21950430860333217
00270,39,864732,0.3672471789447512
00530,112,1588140,0.5742547951569904
00170,50,713343,0.5707514091977484
00400,75,1764452,0.3461200892611554
02200,77,4513457,0.1389174516643624
02810,28,4352605,0.05238225214444125
00540,26,683207,0.3098820587252497
00850,43,4156916,0.08423112455064295
02750,35,5792011,0.049205546354097844
00410,36,2124320,0.13799328547194942
01700,101,4607968,0.178479076988496
00620,43,2102650,0.16652400986496113
02120,15,712858,0.17134191767140838
01380,58,4403607,0.10724939034976676
02940,105,22712425,0.03764446981032778
00920,74,3573373,0.16862763928848098
00810,76,2268313,0.27282615502659957
01620,106,3163067,0.27288072863510665
01200,94,19506779,0.039238977500269875
02770,101,7755136,0.10604918797459205
02330,75,5896237,0.10357661738105578
01300,164,6007207,0.22230367519741306
02300,29,1730780,0.13643679904146264
02730,33,3380257,0.07949496291089424
00550,71,946646,0.6107256164793557
02360,63,4914438,0.10438595793437629
02760,68,4099624,0.135064208470883
01370,35,3261820,0.0873742468143382
