price,area,rooms,balcony,sauna,category,neighborhood,city,postcode,deal_type
1290.0,70.0,3.0,False,True,kerrostalo,tikkurila,vantaa,01300,rent
730.0,20.0,1.0,False,False,kerrostalo,etu-töölö,helsinki,00260,rent
729.0,28.0,1.0,False,False,kerrostalo,kallio,helsinki,00510,rent
1200.0,81.0,3.0,True,False,kerrostalo,leppävaara,espoo,02650,rent
790.0,22.0,1.0,False,False,kerrostalo,kallio,helsinki,00500,rent
700.0,27.0,1.0,True,False,kerrostalo,tikkurila,vantaa,94100,rent
720.0,23.5,1.0,False,False,kerrostalo,tikkurila,vantaa,00610,rent
820.0,37.5,2.0,True,False,kerrostalo,sörnäinen,helsinki,00500,rent
875.0,30.0,1.0,False,False,kerrostalo,ullanlinna,helsinki,00130,rent
850.0,31.0,1.0,False,False,kerrostalo,niittykumpu,espoo,01720,rent
740.0,23.0,1.0,False,False,kerrostalo,lauttasaari,helsinki,00200,rent
835.0,45.0,2.0,False,True,kerrostalo,kivistö,vantaa,01700,rent
870.0,20.0,1.0,False,False,kerrostalo,kamppi,helsinki,00120,rent
1244.0,43.0,1.0,False,False,kerrostalo,taka-töölö,helsinki,00260,rent
740.0,23.0,1.0,False,False,kerrostalo,lauttasaari,helsinki,00200,rent
890.0,60.5,2.0,True,False,kerrostalo,pihlajamäki,helsinki,00710,rent
450.0,11.0,5.0,False,False,kerrostalo,mellunkylä,helsinki,00940,rent
760.0,33.0,1.0,False,False,kerrostalo,etelä-haaga,helsinki,00320,rent
1150.0,44.0,2.0,False,False,kerrostalo,länsisatama,helsinki,00150,rent
865.0,39.0,2.0,True,False,kerrostalo,martinlaakso,vantaa,01620,rent
760.0,26.0,1.0,True,False,kerrostalo,lassila,helsinki,00440,rent
2200.0,91.0,3.0,False,False,kerrostalo,etu-töölö,helsinki,00260,rent
1010.0,53.0,2.0,False,False,kerrostalo,alppiharju,helsinki,00510,rent
880.0,45.5,2.0,False,False,kerrostalo,tapiola,espoo,02120,rent
750.0,25.0,1.0,True,False,kerrostalo,tapiola,espoo,02110,rent
897.0,45.0,2.0,True,False,kerrostalo,perkkaa,espoo,02600,rent
1180.0,74.0,3.0,True,True,rivitalo,hiekkaharju,vantaa,01350,rent
800.0,60.0,2.0,True,False,kerrostalo,koivukylä,vantaa,01360,rent
975.0,52.5,2.0,False,False,kerrostalo,kuninkaantammi,helsinki,00430,rent
1154.0,63.0,3.0,False,False,kerrostalo,leinelä,vantaa,01340,rent
1600.0,86.0,3.0,False,True,kerrostalo,vallila,helsinki,00520,rent
895.0,28.5,1.0,True,False,kerrostalo,kalasatama,helsinki,00580,rent
629.0,21.0,1.0,True,False,kerrostalo,asola,vantaa,01360,rent
670.0,32.5,1.0,True,False,kerrostalo,hiekkaharju,vantaa,01840,rent
601.0,29.5,1.0,True,False,kerrostalo,alppikylä,helsinki,00770,rent
893.0,46.0,2.0,False,False,kerrostalo,martinlaakso,vantaa,01670,rent
990.0,59.0,2.0,False,True,kerrostalo,malminkartano,helsinki,00410,rent
869.0,45.5,2.0,False,False,kerrostalo,konala,helsinki,00390,rent
780.0,31.0,1.0,True,False,luhtitalo,kauklahti,espoo,02870,rent
890.0,55.5,3.0,False,False,kerrostalo,kauklahti,espoo,02780,rent
820.0,40.0,2.0,True,False,kerrostalo,kilo,espoo,02610,rent
690.0,30.0,1.0,True,False,kerrostalo,matinkylä,espoo,02230,rent
870.0,47.0,2.0,False,True,kerrostalo,pakkala,vantaa,01510,rent
975.0,56.0,2.0,True,False,kerrostalo,lauttasaari,helsinki,02600,rent
950.0,52.5,2.0,True,False,kerrostalo,lauttasaari,helsinki,00210,rent
820.0,34.0,1.0,False,False,kerrostalo,tikkurila,vantaa,01300,rent
789.0,35.0,1.0,False,False,kerrostalo,kannelmäki,helsinki,00420,rent
660.0,29.5,1.0,False,False,kerrostalo,leppävaara,espoo,33310,rent
800.0,59.0,2.0,True,False,kerrostalo,leppävaara,espoo,33310,rent
930.0,62.0,3.0,True,True,kerrostalo,leppävaara,espoo,33310,rent
1420.0,84.0,4.0,False,True,kerrostalo,vuosaari,helsinki,00980,rent
829.0,51.0,2.0,False,False,kerrostalo,reimarla,helsinki,00370,rent
1069.0,55.0,3.0,False,False,kerrostalo,martinlaakso,vantaa,01620,rent
950.0,39.0,2.0,True,False,kerrostalo,etu-töölö,helsinki,00250,rent
3200.0,132.6,4.0,False,False,kerrostalo,etu-tööölö,helsinki,83500,rent
1300.0,39.0,1.0,False,False,kerrostalo,etu-töölö,helsinki,83500,rent
2250.0,89.8,3.0,False,False,kerrostalo,etu-töölö,helsinki,83500,rent
1550.0,44.8,2.0,False,False,kerrostalo,etu-töölö,helsinki,83500,rent
981.0,43.0,2.0,True,False,kerrostalo,tapiola,espoo,02200,rent
960.0,40.5,2.0,False,False,kerrostalo,niittykumpu,espoo,01720,rent
595.0,20.5,1.0,True,False,kerrostalo,myyrmäki,vantaa,01620,rent
720.0,25.0,1.0,False,False,kerrostalo,taka-töölö,helsinki,00260,rent
879.0,53.5,2.0,False,False,kerrostalo,soukka,espoo,02350,rent
999.0,53.0,2.0,False,False,kerrostalo,pohjois-haaga,helsinki,12380,rent
950.0,80.0,2.0,True,True,kerrostalo,lassila,helsinki,00440,rent
896.0,52.0,2.0,True,False,kerrostalo,pohjois-tapiola,espoo,904100420,rent
760.0,42.0,2.0,False,False,puutalo-osake,kaarela,helsinki,00420,rent
795.0,22.5,1.0,False,False,kerrostalo,pasila,helsinki,00240,rent
1161.0,72.0,3.0,False,True,kerrostalo,kilo,espoo,02610,rent
764.0,50.0,2.0,False,False,kerrostalo,ymmersta,espoo,02070,rent
764.0,50.0,2.0,False,False,kerrostalo,ymmersta,espoo,02070,rent
642.0,42.0,2.0,False,False,kerrostalo,ymmersta,espoo,02070,rent
642.0,42.0,2.0,False,False,kerrostalo,ymmersta,espoo,02070,rent
789.0,46.0,2.0,False,False,kerrostalo,jokiniemi,vantaa,04410,rent
998.0,37.0,1.0,True,True,kerrostalo,kamppi,helsinki,00180,rent
750.0,28.0,1.0,True,False,kerrostalo,myllypuro,helsinki,00920,rent
1850.0,102.0,4.0,False,False,kerrostalo,kamppi,helsinki,00100,rent
820.0,45.0,2.0,True,False,kerrostalo,karakallio,espoo,90250,rent
1495.0,77.5,3.0,False,True,kerrostalo,ruoholahti,helsinki,00180,rent
768.0,29.5,1.0,False,False,kerrostalo,pohjois-tapiola,espoo,02100,rent
698.0,53.0,2.0,False,False,kerrostalo,kaivoksela,vantaa,01610,rent
1800.0,57.0,2.0,True,True,kerrostalo,munkkisaari,helsinki,20240,rent
750.0,20.5,1.0,False,False,kerrostalo,meilahti,helsinki,00270,rent
790.0,44.0,2.0,True,False,kerrostalo,kivistö,vantaa,01700,rent
1650.0,81.0,4.0,False,False,kerrostalo,etelä-haaga,helsinki,00230,rent
1059.0,78.0,3.0,False,False,kerrostalo,hakunila,vantaa,01200,rent
775.0,28.5,1.0,False,False,kerrostalo,niittykumpu,espoo,41160,rent
949.0,53.0,2.0,False,False,kerrostalo,martinlaakso,vantaa,01620,rent
865.0,74.5,3.0,True,False,kerrostalo,nöykkiö,espoo,02280,rent
2236.0,25.0,1.0,False,False,kerrostalo,ruskeasuo,helsinki,00300,rent
1451.0,32.0,1.0,False,False,kerrostalo,kruununhaka,helsinki,00170,rent
913.0,53.5,2.0,False,False,kerrostalo,pähkinärinne,vantaa,01650,rent
830.0,40.5,2.0,True,True,kerrostalo,oulunkylä,helsinki,00640,rent
780.0,46.0,2.0,True,True,kerrostalo,kilo,espoo,02610,rent
730.0,25.0,1.0,False,False,kerrostalo,lauttasaari,helsinki,00200,rent
1139.0,18.0,1.0,False,False,kerrostalo,herttoniemi,helsinki,00810,rent
1432.0,36.0,1.0,False,False,kerrostalo,vaarala,vantaa,01230,rent
1048.0,33.0,1.0,False,False,kerrostalo,leppävaara,espoo,02650,rent
1267.0,77.0,3.0,False,False,kerrostalo,suvela,espoo,02760,rent
2472.0,101.0,4.0,True,True,kerrostalo,tikkurila,vantaa,01300,rent
920.0,57.0,2.0,True,True,kerrostalo,nissas,vantaa,01200,rent
